Restaurant,Address,City,State,Zipcode
Vietnam Restaurant,1615 Commerce Parkway,Bloomington,IL,61704
Chops and Ribs,71 S. Wacker Drive Chicago,Chicago,IL,60606
Molinarinari,"1701 River Drive, Suite 306",Moline,IL,61265
Siam Cusine,"3201 W White Oaks Drive, Suite 204",Springfield,IL,62704
Marys Diner,"4916 S Technopolis Drive, Building 2",Sioux Falls,SD,57106
Bistro Bob,625 32nd Avenue SW,Cedar Rapids,IA,52404
Wiener House,"400 Locust Street, Suite 420 4th Floor",Des Moines,IA,50309
Irifune Place,"Federal Trust Building, 134 South 13th Street, 10th Floor, Suite 1000",Lincoln,NE,68508
Estradanas,"1111 N 102nd Court, Suite 231",Omaha,NE,68114
Fargo,"3310 Fiectner Drive, Suite 108",Fargo,ND,58103
Fangs,650 Third Avenue South,Minneapolis,MN,55402
China Palace,3605 Hwy 52 North,Rochester,MN,55901
Big Daddy Barbeque,"1005 Ikon Drive, Suite G,",Jefferson City,MO,65109
Wolfs,"3315 E. Ridgeview Street, Suite 4000",Springfield,MO,65804
A Cut Above,30501 Agoura Road,Agoura Hills,CA,91301
Ranch House,650 Harry Road,San Jose,CA,95120
Burgers and Fries,5100 California Avenue,Bakersfield,CA,93309
Hofbrau Deluxe,600 Anton Blvd,Costa Mesa,CA,92626
Jeans Place,100 N. Sepulveda Blvd,El Segundo,CA,90245
Nattos,1001 E. Hillsdale Blvd,Foster City,CA,94404
